"","cod"
"1",""
"2","009U3ZX"
"3","027034Z"
"4","02HV33Z"
"5","02JA3ZZ"
"6","02PY33Z"
"7","02PYX3Z"
"8","02RF38Z"
"9","03HB33Z"
"10","04CK0ZZ"
"11","04HY33Z"
"12","04UK37Z"
"13","05HY32Z"
"14","05HY33Z"
"15","05PYX3Z"
"16","06BP0ZZ"
"17","06H033Z"
"18","06HN33Z"
"19","07B60ZX"
"20","07BJ0ZX"
"21","07BJ0ZZ"
"22","07DR3ZX"
"23","07T70ZZ"
"24","09JH7ZZ"
"25","09JHXZZ"
"26","09JJ7ZZ"
"27","0B110F4"
"28","0B113F4"
"29","0B21XEZ"
"30","0B21XFZ"
"31","0B21XYZ"
"32","0B918ZZ"
"33","0B938ZX"
"34","0B948ZZ"
"35","0B958ZX"
"36","0B978ZX"
"37","0B998ZX"
"38","0B9F8ZX"
"39","0B9L8ZZ"
"40","0BB18ZX"
"41","0BB48ZX"
"42","0BB58ZX"
"43","0BB68ZX"
"44","0BBD8ZX"
"45","0BBK8ZX"
"46","0BC58ZZ"
"47","0BDB8ZX"
"48","0BH17EZ"
"49","0BH17YZ"
"50","0BH18EZ"
"51","0BJ08ZZ"
"52","0BJ0XZZ"
"53","0BP13FZ"
"54","0BP17DZ"
"55","0BP1X0Z"
"56","0BP1XDZ"
"57","0BP1XFZ"
"58","0BQ17ZZ"
"59","0BTL0ZZ"
"60","0D1N0Z4"
"61","0D9670Z"
"62","0D967ZZ"
"63","0DB58ZX"
"64","0DB68ZX"
"65","0DBA0ZZ"
"66","0DBN8ZX"
"67","0DBP8ZX"
"68","0DH63UZ"
"69","0DH673Z"
"70","0DH67UZ"
"71","0DJ08ZZ"
"72","0DJ68ZZ"
"73","0DJD8ZZ"
"74","0DNW0ZZ"
"75","0DP673Z"
"76","0DP67UZ"
"77","0DP6X0Z"
"78","0DP6XUZ"
"79","0DTJ4ZZ"
"80","0DTP8ZZ"
"81","0F9930Z"
"82","0FB03ZX"
"83","0FB23ZX"
"84","0H97XZZ"
"85","0H9FXZZ"
"86","0H9LXZZ"
"87","0HB6XZZ"
"88","0HQ0XZZ"
"89","0HQ1XZZ"
"90","0HQ4XZZ"
"91","0HQ9XZZ"
"92","0HQGXZZ"
"93","0HX6XZZ"
"94","0J970ZZ"
"95","0J9B0ZZ"
"96","0JB70ZZ"
"97","0JB90ZZ"
"98","0JBB0ZZ"
"99","0JBN3ZZ"
"100","0JBQ0ZZ"
"101","0JBR0ZZ"
"102","0JC60ZZ"
"103","0JCL0ZZ"
"104","0JCN3ZZ"
"105","0JH604Z"
"106","0JPT0PZ"
"107","0JPTX3Z"
"108","0JQP0ZZ"
"109","0K9N30Z"
"110","0PB43ZZ"
"111","0PS43ZZ"
"112","0PU43JZ"
"113","0QB03ZZ"
"114","0QB10ZZ"
"115","0QS03ZZ"
"116","0QS606Z"
"117","0QS706Z"
"118","0QU03JZ"
"119","0RSXXZZ"
"120","0S9C3ZX"
"121","0S9G0ZX"
"122","0SPG04Z"
"123","0T1B4ZD"
"124","0T25X0Z"
"125","0T2BX0Z"
"126","0T9480Z"
"127","0T9B70Z"
"128","0T9B7ZX"
"129","0T9B7ZZ"
"130","0T9B80Z"
"131","0TBB8ZZ"
"132","0TBC8ZZ"
"133","0TPB70Z"
"134","0TPBX0Z"
"135","0W354ZZ"
"136","0W360ZZ"
"137","0W3P8ZZ"
"138","0W3R8ZZ"
"139","0W983ZZ"
"140","0W9900Z"
"141","0W9930Z"
"142","0W993ZX"
"143","0W9B30Z"
"144","0W9B3ZX"
"145","0W9B3ZZ"
"146","0W9D3ZZ"
"147","0W9F3ZX"
"148","0W9G3ZZ"
"149","0WJB3ZZ"
"150","0WUF0JZ"
"151","0Y373ZZ"
"152","0Y6C0Z3"
"153","0YBL0ZX"
"154","0YBL0ZZ"
"155","10D00Z1"
"156","10E0XZZ"
"157","2W16X6Z"
"158","2W28X4Z"
"159","2W29X4Z"
"160","2W39XYZ"
"161","2W3MX1Z"
"162","30233J1"
"163","30233L1"
"164","30233N1"
"165","30233R1"
"166","30233S1"
"167","30243L1"
"168","30243N1"
"169","30243R1"
"170","3C1ZX8Z"
"171","3E00X29"
"172","3E00X3Z"
"173","3E00XGC"
"174","3E00XNZ"
"175","3E0130M"
"176","3E0134Z"
"177","3E0137Z"
"178","3E013GC"
"179","3E013NZ"
"180","3E013VG"
"181","3E02329"
"182","3E0233Z"
"183","3E0234Z"
"184","3E023BZ"
"185","3E023GC"
"186","3E023NZ"
"187","3E030RZ"
"188","3E030WL"
"189","3E03305"
"190","3E0330M"
"191","3E03328"
"192","3E03329"
"193","3E0333Z"
"194","3E0334Z"
"195","3E0336Z"
"196","3E0337Z"
"197","3E033GC"
"198","3E033NZ"
"199","3E033PZ"
"200","3E033RZ"
"201","3E033VG"
"202","3E033VJ"
"203","3E033WL"
"204","3E033XZ"
"205","3E04328"
"206","3E04329"
"207","3E0436Z"
"208","3E0437Z"
"209","3E043GC"
"210","3E043NZ"
"211","3E043RZ"
"212","3E043VG"
"213","3E043WL"
"214","3E043XZ"
"215","3E0CX29"
"216","3E0F73Z"
"217","3E0F7GC"
"218","3E0F7NZ"
"219","3E0F7SF"
"220","3E0F8SF"
"221","3E0G36Z"
"222","3E0G76Z"
"223","3E0G77Z"
"224","3E0G7GC"
"225","3E0G7NZ"
"226","3E0H7GC"
"227","3E0P729"
"228","3E0R3BZ"
"229","3E10X8Z"
"230","3E1978Z"
"231","3E1B78Z"
"232","3E1F78Z"
"233","3E1F88X"
"234","3E1F88Z"
"235","3E1H78Z"
"236","3E1K78Z"
"237","4A00X4Z"
"238","4A01X29"
"239","4A01X2B"
"240","4A02X4A"
"241","4A02X4Z"
"242","4A02XM4"
"243","4A033R1"
"244","4A043R1"
"245","4A0FX3Z"
"246","4A0ZXKZ"
"247","4A12X45"
"248","4A12X4Z"
"249","4A12XCZ"
"250","4A12XM4"
"251","4A133B1"
"252","4A13XB1"
"253","4A13XR1"
"254","4A143B0"
"255","4A14XB1"
"256","4A19XCZ"
"257","4A1HXCZ"
"258","5A09357"
"259","5A0935Z"
"260","5A09457"
"261","5A0945Z"
"262","5A09557"
"263","5A09558"
"264","5A0955Z"
"265","5A12012"
"266","5A19054"
"267","5A1935Z"
"268","5A1945Z"
"269","5A1955Z"
"270","5A1D70Z"
"271","5A1D80Z"
"272","5A1D90Z"
"273","5A2204Z"
"274","8000/0"
"275","8000/1"
"276","8000/3"
"277","8000/39"
"278","8000/6"
"279","8010/3"
"280","8010/39"
"281","8010/6"
"282","8010/9"
"283","8012/39"
"284","8012/6"
"285","8013/3"
"286","8013/6"
"287","8041/39"
"288","8041/6"
"289","8046/39"
"290","8046/6"
"291","8070/39"
"292","8070/6"
"293","8090/39"
"294","8120/3"
"295","8120/39"
"296","8120/6"
"297","8130/2"
"298","8130/29"
"299","8130/39"
"300","8140/0"
"301","8140/3"
"302","8140/31"
"303","8140/32"
"304","8140/33"
"305","8140/39"
"306","8140/6"
"307","8144/39"
"308","8144/6"
"309","8160/39"
"310","8160/6"
"311","8170/31"
"312","8170/39"
"313","8211/0"
"314","8213/0"
"315","8246/33"
"316","8246/39"
"317","8246/6"
"318","8260/31"
"319","8260/6"
"320","8272/0"
"321","8312/3"
"322","8312/39"
"323","8312/6"
"324","8370/0"
"325","8440/0"
"326","8441/39"
